Date       	OrderID 	Product ID 	QuantitySold 	CostPerUnit($) 	Tax+ShippingCost	Sales($)	DistributorID	PaymentID
2022-01-05	1101	WR2	21	7200	3477.6	173880	DL2	P004
2022-01-15	1102	WP4	14	9400	3026.8	151340	DL2	P002
2022-02-03	1103	WP6	7	12200	1964.2	98210	DL2	P001
2022-02-18	1104	WL1	14	12400	3992.8	199640	DL4	P002
2022-03-10	1105	WE1	21	8400	4057.2	202860	DL5	P001
2022-04-05	1106	WM3	28	8600	5538.4	276920	DL6	P003
2022-04-20	1107	WR3	7	7400	1191.4	59570	DL7	P001
2022-05-08	1108	WR1	14	6200	1996.4	99820	DL8	P001
2022-06-02	1109	WP5	7	10200	1642.2	82110	DL9	P004
2022-06-18	1110	WR1	14	6200	1996.4	99820	DL2	P001
2022-07-10	1111	WR2	21	7400	3574.2	178710	DL2	P003
2022-07-22	1112	WP4	14	9600	3091.2	154560	DL2	P001
2022-08-15	1113	WP6	7	12400	1996.4	99820	DL2	P001
2022-08-30	1114	WL1	14	12600	4057.2	202860	DL4	P003
2022-09-12	1115	WE1	21	8600	4153.8	207690	DL5	P001
2022-10-05	1116	WM3	28	8800	5667.2	283360	DL6	P004
2022-10-20	1117	WR3	7	7600	1223.6	61180	DL7	P001
2022-11-08	1118	WR1	14	6400	2060.8	103040	DL8	P003
2022-12-02	1119	WP5	7	10400	1674.4	83720	DL9	P003
2022-12-05	1120	WR1	21	6400	3091.2	154560	DL2	P001
2022-12-07	1121	WR2	14	7600	2447.2	122360	DL2	P004
2022-12-09	1122	WP4	7	9800	1577.8	78890	DL2	P003
2022-12-11	1123	WP6	21	12800	6182.4	309120	DL2	P001
2022-12-14	1124	WL1	7	12800	2060.8	103040	DL4	P002
2022-12-16	1125	WE1	14	8800	2833.6	141680	DL5	P001
2022-12-18	1126	WM3	28	9000	5796	289800	DL6	P003
2022-12-22	1127	WR3	14	7800	2511.6	125580	DL7	P001
2022-12-25	1128	WR1	7	6600	1062.6	53130	DL8	P001
2022-12-29	1129	WP5	21	10800	5216.4	260820	DL9	P004
2022-12-31	1130	WR1	14	6600	2125.2	106260	DL2	P001
